10:31:35 INF [TCP] connected lAddr=127.0.0.1:50992 rAddr=chinaeast2-0.in.applicationinsights.azure.cn:443 mode=rule rule=DomainSuffix(azure.cn) proxy=微软服务[日本JP-T-GPT]
10:31:50 INF [TCP] connected lAddr=127.0.0.1:50996 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:32:01 INF [TCP] connected lAddr=127.0.0.1:51014 rAddr=server.codeium.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51016 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51020 rAddr=apikey.map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51022 rAddr=confinfo.map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51024 rAddr=overseactrl.map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51027 rAddr=vectorsdk.map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51025 rAddr=vectorsdk.map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51026 rAddr=vectorsdk.map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51033 rAddr=confinfo.map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51032 rAddr=apikey.map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51036 rAddr=overseactrl.map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51018 rAddr=login.live.com:443 mode=rule rule=DomainSuffix(live.com) proxy=微软服务[日本JP-T-GPT]
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51038 rAddr=rt3.map.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51039 rAddr=rt2.map.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51040 rAddr=rt0.map.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
10:32:15 INF [TCP] connected lAddr=127.0.0.1:51041 rAddr=rt1.map.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
10:32:16 INF [TCP] connected lAddr=127.0.0.1:51046 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:32:18 INF [TCP] connected lAddr=127.0.0.1:51048 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:32:18 INF [TCP] connected lAddr=127.0.0.1:51052 rAddr=map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:18 INF [TCP] connected lAddr=127.0.0.1:51054 rAddr=map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:32:18 INF [TCP] connected lAddr=127.0.0.1:51050 rAddr=nav-edge.smartscreen.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:33:01 INF [TCP] connected lAddr=127.0.0.1:51076 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:02 INF [TCP] connected lAddr=127.0.0.1:51178 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:04 INF [TCP] connected lAddr=127.0.0.1:51180 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:04 INF [TCP] connected lAddr=127.0.0.1:51182 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:06 INF [TCP] connected lAddr=127.0.0.1:51184 rAddr=cdn.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:07 INF [TCP] connected lAddr=127.0.0.1:51186 rAddr=cdn.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:22 INF [TCP] connected lAddr=127.0.0.1:51202 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:22 INF [TCP] connected lAddr=127.0.0.1:51204 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:32 INF [TCP] connected lAddr=127.0.0.1:51206 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:41 INF [TCP] connected lAddr=127.0.0.1:51209 rAddr=i.imgur.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:33:41 INF [TCP] connected lAddr=127.0.0.1:51211 rAddr=i.imgur.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:34:34 INF [TCP] connected lAddr=127.0.0.1:51233 rAddr=x1.c.lencr.org:80 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:34:51 INF [TCP] connected lAddr=127.0.0.1:51236 rAddr=server.codeium.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:34:54 INF [TCP] connected lAddr=127.0.0.1:51238 rAddr=io-oi.me:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:34:55 INF [TCP] connected lAddr=127.0.0.1:51240 rAddr=xiaojianzheng.cn:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:35:02 INF [TCP] connected lAddr=127.0.0.1:51243 rAddr=www.bingapis.com:443 mode=rule rule=DomainSuffix(bingapis.com) proxy=微软服务[日本JP-T-GPT]
10:35:24 INF [TCP] connected lAddr=127.0.0.1:51246 rAddr=www.seekhue.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:37:02 INF [TCP] connected lAddr=127.0.0.1:51264 rAddr=server.codeium.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:38:14 INF [TCP] connected lAddr=127.0.0.1:51567 rAddr=server.codeium.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:38:14 INF [TCP] connected lAddr=127.0.0.1:51564 rAddr=server.codeium.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:38:14 INF [TCP] connected lAddr=127.0.0.1:51563 rAddr=server.codeium.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:38:14 INF [TCP] connected lAddr=127.0.0.1:51569 rAddr=server.codeium.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:38:30 INF [TCP] connected lAddr=127.0.0.1:51572 rAddr=assets.msn.com:443 mode=rule rule=DomainSuffix(msn.com) proxy=微软服务[日本JP-T-GPT]
10:39:51 INF [TCP] connected lAddr=127.0.0.1:51606 rAddr=server.codeium.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:39:53 INF [TCP] connected lAddr=127.0.0.1:51611 rAddr=publish.u-tools.cn:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:40:30 INF [TCP] connected lAddr=127.0.0.1:51625 rAddr=open.u-tools.cn:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
