22:35:42 INF [API] listening addr=127.0.0.1:50928
22:35:42 INF [DNS] server listening addr=127.0.0.1:53
22:36:22 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51030 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:22 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51044 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:22 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51032 rAddr=config.edge.skype.com:443 rule=DomainSuffix rulePayload=skype.com
22:36:22 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51043 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:22 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51045 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:22 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51046 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:22 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51040 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:22 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51037 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:22 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51034 rAddr=g.live.com:443 rule=DomainSuffix rulePayload=live.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51048 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51053 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51050 rAddr=g.live.com:443 rule=DomainSuffix rulePayload=live.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51061 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51049 rAddr=config.edge.skype.com:443 rule=DomainSuffix rulePayload=skype.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51057 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51064 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51054 rAddr=geover.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51063 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51060 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51056 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51059 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51052 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51058 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51062 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:27 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51055 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:32 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:57121->114.114.114.114:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:51066 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
